Hello,Hello World!
Hello,Hello World!
Hi,Hello World!
how are you?,I am a Chatbot.
you are nice,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=you are nice'>you are nice</a>
Hello,Hello World!
good morning,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=good morning'>good morning</a>
What time is it?,The time is now 12:00 PM EST
who are you?,I am a Python powered ChatBot.
who are you?,I am a ChatBot.
who are you?,I am a ChatBot.
Who are you?,I am a Chatbot.
Who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hello World!
Hello,Hello World!
Hi,Hello World!
What is the time?,"Today is Saturday, 8/24/2019"
Do you know what time it is?,The time is now 9:47 PM EST
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What?
Are you there?,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Are you there?'>Are you there?</a>
SAP Leonardo,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=SAP Leonardo'>SAP Leonardo</a>
What time is it?,The time is now 10:33 PM EST
What day is it?,"Today is Saturday, 8/24/2019"
How are you?,I am a Chatbot.
Hi,Hello World!
How are you?,I am a Python powered ChatBot.
How are you?,I am a ChatBot.
Good day!,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Good day!'>Good day!</a>
Hello,Hello World!
What are you doing?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hello World!
Hello,Hello World!
hi,Hello World!
hi,Hello World!
Hello,Hello World!
hi,Hello World!
Hello,Hello World!
What are you going to talk?,"<a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I want to talk about robots')"";>Robots</a><br>"
I want to talk about robots,I'm not an expert on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=I want to talk about robots'>I want to talk about robots</a>
Hello,Hello World!
Hello,Hello World!
Hi,Hello World!
What is the date?,"Today is Sunday, 8/25/2019"
What time is it?,The time is now 11:29 AM EST
What are you going to talk?,"<a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I want to talk about robots')"";>Robots</a><br>"
President of america,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=President of america'>President of america</a>
Hello,Hello World!
Hi,Hello World!
What are you going to talk?,"<a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I want to talk about robots')"";>Robots</a><br>"
I want to talk about robots,I could not tell you.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=I want to talk about robots'>I want to talk about robots</a>
Hello,Hello World!
Hello,Hello World!
hi,Hello World!
hello,Hello World!
hi,Hello World!
hello,Hello World!
Hello,Hello World!
hi,Hello World!
hi,Hello World!
Hello,Hello World!
hi,Hello World!
got the time,The time is now 1:31 PM EST
Hello,Hello World!
hi,Hello World!
idknull,I'm not an expert on that.
idknull,I'm not sure about that.
idknull,I don't have a response for that.
Nothing,I think you hit the wrong key...
Hello,Hello World!
hi,How can I help you?
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
hi,How can I help you?
Hello,Hello World!
hi,How can I help you?
Hello,Hello World!
